,Unnamed: 0.1,Unnamed: 0,comments,Label
157,157,157,follow me on twitter  mscalifornia﻿,1
158,158,158,😫😓😏😪😔😖😌😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😮😴😡😬😕😑😐😯😉😈😇😆😅😄😃😀😊☺  every single types of face on earth﻿,0
159,159,159,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ｄａｍｎ ｔｈｉｓ ｃｏｍｍｅｎｔ ｉｓ ｆａｎｃy ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,0
160,160,160,check my channel for my new song static  youll love it ﻿,1
161,161,161,incmedia org where the truth meets you ﻿,1
162,162,162,look at my channel i make minecraft pe lets play ﻿,1
163,163,163,i found out this song now﻿,0
164,164,164,billion ﻿,0
165,165,165,song name ﻿,0
166,166,166,please like   http www bubblews comnewspeaceandbrotherhood﻿,1
167,167,167,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver  of your vids a like﻿,1
168,168,168,http www amazon co ukgpofferlistingbecvfgsr qid ref olp_tab_refurbished ie utfampcondition refurbishedampqid ampsr  ﻿,1
169,169,169,the most watched video on youtube is psy’s gangnam style  with    billion views  psy  gangnam style 강남스타일  mv﻿,0
170,170,170,subscribe to me and ill subscribe back ﻿,1
171,171,171,http flipagram comflukaqmrhf﻿,1
172,172,172,for christmas song visit my channel   ﻿,1
173,173,173,http www gofundme comgvrxg﻿,1
174,174,174,subscribe to me i subscribe back  plus i have a nice ass lol﻿,1
175,175,175,https www change orgpfacebooktwitteryoutubedonotcensorjulienblanc ﻿,1
176,176,176,https soundcloud comjackalandjameswrapupthenight﻿,1
177,177,177,https www surveymonkey comscvhmklt﻿,1
178,178,178,please give us a chance and check out the new music video on our channel   you wont be disappointed ﻿,1
179,179,179,please subscribe to me﻿,1
180,180,180,this is the best  funny and viral video of history youtube  the true﻿,0
181,181,181,please check out my vidios﻿,1
182,182,182,oppa gangnam style ﻿,0
183,183,183,the funny thing is    of the views are spam bots  i mean cmon   billion views  bs ﻿,0
184,184,184,oppa lt﻿,0
185,185,185,its so funny its awesomeness lol aaaaaaa sexy lada﻿,0
186,186,186,most viewed video in the world﻿,0
187,187,187,im here to check the views  holy shit﻿,0
188,188,188,dear person reading this  you are beautiful and loving have a great day﻿,0
189,189,189,http www ermail pldolaczvveygin click  http www ermail pldolaczvveygin  http www ermail pldolaczvveygin  http www ermail pldolaczvveygin  http www ermail pldolaczvveygin  http www ermail pldolaczvveygin  http www ermail pldolaczvveygin﻿,1
190,190,190,have you tried a new social network tsu  this new social network has a  special thing you can share the posts as well as on fb and twitter and even  toll get paid you can registr here   https www tsu coworldwide_life﻿,1
191,191,191,the guy in the yellow suit kinda looks like jaesuk ﻿,0
192,192,192,people  here is a new network like fb you register also free  the  difference is only that you get paid for sharing  commenting and liking  posts and so one dont waste your time on fb for sharing and not being  paid  register here to make also money with your everyday posts   https www tsu coslema wellcome to everyone   ﻿,1
193,193,193,how are there  billion views and theres only  million people in the  world  multiple accounts ﻿,0
194,194,194,wat da fuck this the most viewed video in youtube ﻿,0
195,195,195,omg  people watched this video because there are  billion people in the  world and  billion watched this﻿,0
196,196,196,what is he saying  ﻿,0
197,197,197,this has so many views﻿,0
198,198,198,omg over  billion views ﻿,0
199,199,199,subscribe to me plz plz plz plz plz plz ﻿,1
200,200,200,http www twitch tvtareko follow him on twitch and enter the keyword    and youll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,1
201,201,201,i am   viewer  d﻿,0
202,202,202,https www tsu coaseris get money here  ﻿,1
203,203,203,fantastic ﻿,0
204,204,204,the population of world is more than  billion﻿,0
205,205,205,views ﻿,0
206,206,206,wow  min ago﻿,0
207,207,207,super   ﻿,0
208,208,208,p e a c e  amp  l o v e     ﻿,0
209,209,209,how can this music video get  billion views while im the only one watching  here on earth  lol﻿,0
210,210,210,please friend read my book and repass  http www shared comwebpreviewpdfcjfoftxeba ﻿,1
211,211,211,subscribe to me   ﻿,1
212,212,212,still the best   d﻿,0
213,213,213,the most liked video on youtube ﻿,0
214,214,214,still watching this  years later  ﻿,0
215,215,215,hello  im kind of new to youtube  and soon im soon going to be making  launchpad videos   d i would really appreciate if i got some subs before i  started so that people can spot me easily  i dont really care about hate  comments so dont bother _﻿,1
216,216,216,lol i dunno how this joke gets a lot of likes  but whatever  xd﻿,0
217,217,217,billion views for this piece of shit    a r e   y o u   k i d d i n g   m e  ﻿,0
218,218,218,gangman sty  dddddddrop the bass ﻿,0
219,219,219,will this song ever reach  billion views ﻿,0
220,220,220,im a rappersongwriter  check my video please also subscribe for more  thanks   tell me what you think ﻿,1
221,221,221,hello all   earth population of the world  hope your having a great  day  ﻿,0
222,222,222,is this the video that started the whole  got my dick stuck in an elevator   excuse thing  ﻿,0
223,223,223,can anyone sub to my channel   d﻿,1
224,224,224,prehistoric song has been﻿,0
225,225,225,you think youre smart         headbutt your face ﻿,0
226,226,226,dislike  now one knows real music  ex  enimen ﻿,0
227,227,227,loool nice song funny how no one understands me  and we love it﻿,0
228,228,228,like if you came here too see how many views this song has ﻿,0
229,229,229,we pray for you little psy ♡﻿,0
230,230,230,little psy  only  months left  tumor in the head   we will miss u lt﻿,0
231,231,231,follow me on instagram  _chris_cz  ﻿,1
232,232,232,how is this shit still relevant ﻿,0
233,233,233,lol this shit never gets old﻿,0
234,234,234,what can i say this song he just change the world completely  so good job psy  and your girls are awesome    ﻿,0
235,235,235,on   u can see the camera man on his glasses ﻿,0
236,236,236,this comment is wrong﻿,0
237,237,237,i hate this music  fucking singer and every koean chainise ana us sucks me dick ﻿,0
238,238,238,hahahahah ﻿,0
239,239,239,can we reach  billion views by december   ﻿,0
240,240,240,dumb guy  why is there  billion views when there are  million people on  earth  also  i know what + equals  +   i am a smartie pants﻿,0
241,241,241,people who say that  this song is too old now  theres no point of  listening to it  suck  just stfu and enjoy the music  so  your mom is old  too but you still listen to her right ﻿,0
242,242,242,the funny thing is that this song was made in  but it took  years to  get to america ﻿,0
243,243,243,why i dont see any comments but mine ﻿,0
244,244,244,this jap is such a piece of shit  he is such a worthless fish head  i dont  know how any one likes this dumb untanlted gook  this isnt even fucken  music  this is so fucking sad that this is even such thing  people are so  fucked up ﻿,0
245,245,245,i remember when everyone was obsessed with gangnam style 😗﻿,0
246,246,246,remove this video its wank﻿,0
247,247,247,its so hard  sad   ithat little child actor hwang minoo dancing very  active child is suffering from brain tumor  only  month left for him  hard  to believe   keep praying everyone for our future superstar   stronglittlepsy fighting  share everyone praying for him http ygunited comlittlepsyfromthehasbraintumormonthslefttolive ﻿,1
248,248,248,why the fuck this keeps updated  comments   minutes ago  song    years and   months ago ﻿,0
249,249,249,many memories ﻿,0
250,250,250,why are they million comments when there is only   youtube users    million fake account or psy hacked youtube﻿,0
251,251,251,out of   people in the would saw this video just  in  years and yeat i only get  words out of the hole song﻿,0
252,252,252,this video is so cool  again and again ﻿,0
253,253,253,i am now going to voyage to the first comment       tell my family i loved them  ﻿,0
254,254,254,how did this video in all of youtube get this many views and likes  why  gangnam style  i dont have a problem with it  i just dont understand the  phenomena behind it  its just like any other random music video out  there  ﻿,0
255,255,255,with the korean girl more slut and bitch   hyuna  ﻿,0
256,256,256,hey guys  check this out  kollektivet  dont be slappin my penis   i  think that they deserve much more credit than they receive ﻿,1
257,257,257,still a very fun music video to watch  ﻿,0
258,258,258,cmon  billion views ﻿,0
259,259,259,hey everyone  i am a new channel and will post videos of book reviews and  music on the flute  please subscribe if you would enjoy that  thanks ﻿,1
260,260,260,hey i think i know what where dealing with here  i have some theories of  how this couldve gotten billion hits    this was mabey made in korea and its realy popular there so they were  stuck watching this over and over again    over billion people have access to the internet  including youtube  and  the numbers are rising  by  half of the populatoin will be connected    hackers in korea may have loved it so much they rised it to billion  hits to make it more popular     the song was featured in a just dance game  on multiple mps  and been  seen on concerts and even on new years eve event in   so just by seeing  those you mabey adding more hits to this video    you are complaining to much on how the heck this has b hits ﻿,0
261,261,261,subscribe my chanel﻿,1
262,262,262,this has more views than queen and michael jackson   billion views omg﻿,0
263,263,263,lol﻿,0
264,264,264,if you pause at   at the last millisecond you can see that that chick is  about to laugh  takes a few tries ﻿,0
265,265,265,year olds be like  how does this have  billion views when there are  only  people in the world﻿,0
266,266,266,psy is a good guy﻿,0
267,267,267,why does this have  billion views this song is so annoying﻿,0
268,268,268,https www facebook compagesmathsterwp ref hl﻿,1
269,269,269,millioon dislikesssssssssssssssssssssssssssssssss ﻿,0
270,270,270,the little psy is suffering brain tumor and only has  more months to live   please pray to him and the best lucks ﻿,0
271,271,271,for all of the little kidz out there there is like  to  billon people on  earth not  to  millon get you facts straight before posting comments ﻿,0
272,272,272,how stupid humanity is﻿,0
273,273,273,come and watch my video it is called the odowd crowd zombie movie part  ﻿,1
274,274,274,you know a song sucks dick when you need to use google translate to know  what the fuck its saying ﻿,0
275,275,275,we get it  you came here for the views  ﻿,0
276,276,276,wow this video is the most viewed youtube video  second that comes justin  bieber baby smh what has the world come to﻿,0
277,277,277,hey  join me on tsū  a publishing platform where i share my content now   http tsu comarkusmairhofer﻿,1
278,278,278,this song is great there are   views wow﻿,0
279,279,279,im watching this in ﻿,0
280,280,280,most viewed video on youtube daaaaaaaaaaannng those views can almost  dominate the entire china ﻿,0
281,281,281,how does this video have   views if there are only  million  people on earth ﻿,0
282,282,282,what my gangnam style﻿,0
283,283,283,lol this youtuber officialpsy  is getting so much money lol﻿,0
284,284,284,million dislikes epic failready for you fanboys ﻿,0
285,285,285,if i knew korean  this would be even funnier  at least a bit at the end was  in english  but was spoken quite rapidly ﻿,0
286,286,286,enough with the whole  how does this have two billion views if theres only   million on the planet  we get it  youre joking  its not funny anymore ﻿,0
287,287,287,if i get  subscribers  i will summon freddy mercurys ghost to whipe  from the face of earth one direction and miley cirus ﻿,1
288,288,288,if i reach  subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasnt me  like  so people can see ﻿,1
289,289,289,youtube money  ﻿,0
290,290,290,billion for this shit ﻿,0
291,291,291,billion views  only  million shares﻿,0
292,292,292,hi guys my name is dylan and i do irl football videos i have   subscribers and i think you guys would like my content so come check it out  and if you do subscribe ﻿,1
293,293,293,if i get  subscribers by tomorrow ill do a epic hunger games video  ﻿,1
294,294,294,follower please https www facebook comlists﻿,1
295,295,295,billion views wow not even baby by justin beibs has that much he doesnt  deserve a capitalized name﻿,0
296,296,296,if i reach  subscribers i will tazz my self and my friend﻿,1
297,297,297,please help me go to college guys  thanks from the bottom of my heart   https www indiegogo comprojectsiwanttogotocollegex﻿,1
298,298,298,https www facebook comschoolgeniusnitsphotosms c ejwkvkoxdamqmhz snjqp _thqbeumaqupih _fphgkzllsvdqvzufmb lnuj ufthyokfrxytszvrrpqgtwy lh f _vlczzrgvgctlpsdongewhj _gibu slzmvy iq twsfzzwhnjusvhufpglqrzczlfnphagevbxydmcx _ jtcjnmho vfxwcjzyvwobihrngxocjngpgevhxzyjd _oh _ryfsprndxv _bzszz  bps a  type amptheater ﻿,1
299,299,299,i am so awesome and smart  sucscribe to me ﻿,1
300,300,300,follow  follow                             vaahidmustafic like  like ﻿,1
301,301,301,http hackfbaccountlive com ref   psy news offıcal ﻿,1
302,302,302,https www facebook comnicushorbboy add mee lt lt﻿,1
303,303,303,im sorry for the spam but my name is jenny  i go to high school where  everyone dresses fashionable but for me i dont because i need money to buy  cute clothes  i have low self esteem   i live with my dad  my mom passed  away when i was  so i dont really have a mother figure  i have  brothers  who is older than me  since they are boys they get the attention while i  just be alone  i really want to wear pretty clothes like the girls in my  school and get a boyfriend  i just cant be my self  im very quite and shy  at school because i dont have the confidence in myself to talk to someone   i did have one friend name caroline but she moved away so now im alone  if  you could donate some money to me it would be great  i dont care about  expensive brand ill just shop at walmart because they have pretty clothes   also i wanna get my nails done at a salon   i see alot of girls have these  french tips  i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too  http www gofundme comdressprettyonce thanks omg please ﻿,1
304,304,304,i hate this song  ﻿,0
305,305,305,please throw a sub on my channel﻿,1
306,306,306,new goal       lets go for it ﻿,0
307,307,307,go to my channel if u want to see a fly getting burned alive﻿,1
308,308,308,just came here to check the views  p﻿,0
309,309,309,come and check out my new youtube chhanel  going to be posting daily ﻿,1
310,310,310,i hav absolutely no idea what hes saying  is it even a language ﻿,0
311,311,311,please check out my vidios guys﻿,1
312,312,312,i still to this day wonder why this video is so popular   illuminati  confirmed  ﻿,0
313,313,313,hey guys can you check my channel out plz  i do mine craft videos  lets  shoot for  subs﻿,1
314,314,314,this is getting old ﻿,0
315,315,315,please subscribe me ﻿,1
316,316,316,just came to check the view count﻿,0
317,317,317,check out my music videos  fuego  u la la remix  hyperurl cokaxt﻿,1
318,318,318,check out my music videos  and please subscribe  fuego  u la la remix  hyperurl cokaxt﻿,1
319,319,319,www marketglory comstrategygamelordviperas﻿,1
320,320,320,if the shitty chinese government didnt block youtube over there  thered  be close to  billion views right now  ﻿,0
321,321,321,world record youtube video views   xd﻿,0
322,322,322,i think he was drunk during this   x ﻿,0
323,323,323,limit sun exposure while driving  eliminate the hassle of having to swing  the car visor between the windshield and window   https www kickstarter comprojectsvisortwin﻿,1
324,324,324,hahah  juyk  i allways laugh at the part   lol ﻿,0
325,325,325,http hackfbaccountlive com ref ﻿,1
326,326,326,i wanted to know the name of the guy that dances at   anybody knows  ﻿,0
327,327,327,https www facebook comfudairyqueen pnref story﻿,1
328,328,328,haha its so funny to see the salt of westerners that top views of youtube  goes to video they dont even understand  keep the salt up ﻿,0
329,329,329,follow my company on twitter  thanks   https twitter comthewaxedhatco﻿,1
330,330,330,imagine if this guy put adsense on with all these views  u could pay ur  morgage﻿,0
331,331,331,hey come check us out were new on youtube let us know what you think and  dont forget to subscribe thanks ﻿,1
332,332,332,the girl in the train who was dancing  her outfit was so fucking sexy  but  the huge turnoff was she lacked eyebrows d ﻿,0
333,333,333,look at the pictures  if not difficult http imageyou ru        http imageyou ru          http imageyou ru http imageyou ru             http imageyou ru       http imageyou ru  http imageyou ru            http imageyou ru          http imageyou ru http imageyou ru              http imageyou ru            http imageyou ru http imageyou ru        http imageyou ru             http imageyou ru http imageyou ru        http imageyou ru           http imageyou ru http imageyou ru             http imageyou ru﻿,1
334,334,334,dont mind me  im just checking what the views are up to    ﻿,0
335,335,335,hey guys can you check my youtube channel i know you hate comments like  this one but i promise if you check my videos it will be entertaining i do  shotgun montages ninja defuse montages and trolling please guys can you  check them out and thanks have a good day ﻿,1
336,336,336,to everyone joking about how he hacked to get  billion views because  theres a certain amount of people or whatever   he actually did buy views ﻿,0
337,337,337,https www facebook comtofikmiedzynbphotosa  type amptheater ﻿,1
338,338,338,https www facebook comeecconposts comment_id ampoffset amptotal_comments    please like frigea marius gabriel comment  d﻿,1
339,339,339,http www bing comexplorerewards publ referafriendampcrea rawamprrid _ffaaaacfcedeeaca bing rewards  earn free money  and no u cant get ur virus in blue ﻿,1
340,340,340,please do buy these new christmas shirts  you can buy at any time before  december th and they are sold worldwide  dont miss out   http teespring comtreechristmas﻿,1
341,341,341,free my apps get m crdits   just click on the link and download a app and  done  · link  https m freemyapps comshareurlafe﻿,1
342,342,342,why does a song like this have more views than michael jackson smh﻿,0
343,343,343,something to dance to  even if your sad just dance    psy  gangnam style 강남스타일  mv  http youtu bebzkpqf﻿,0
344,344,344,everyones back lool this is almost  years old and people are still hear   xd﻿,0
345,345,345,how can this have  billion views when theres only me on the planet  lol﻿,0
346,346,346,i dont now why im watching this in ﻿,0
347,347,347,subscribe to me for call of duty vids and give aways goal subs﻿,1
348,348,348,hi guys please my android photo editor download  thanks https play google comstoreappsdetails id com butalabs photo editor﻿,1
349,349,349,the first billion viewed this because they thought it was really cool  the  other billion and a half came to see how stupid the first billion were ﻿,0
350,350,350,i love this so much  and also i generate free leads on auto pilot amp you can  too  http www myleadergate commoretraffic﻿,1
351,351,351,http www billboard comarticlescolumnspopshopfanarmyfaceoffround vote for sones please were against vips please help us  gt lt﻿,1
